{'': '0', 'Unnamed: 0': '0.0', 'customerID': '7590-VHVEG', 'gender': 'Female', 'SeniorCitizen': '0.0', 'Partner': 'Yes', 'Dependents': '', 'tenure': 1.0, 'PhoneService': 0, 'MultipleLines': 'No phone service', 'InternetService': 'DSL', 'OnlineSecurity': 'No', 'OnlineBackup': 'Yes', 'DeviceProtection': 'No', 'TechSupport': 'No', 'StreamingTV': 'No', 'StreamingMovies': 'No', 'Contract': 'Month-to-month', 'PaperlessBilling': 'Yes', 'PaymentMethod': 'Electronic check', 'MonthlyCharges': 29.85, 'TotalCharges': 29.85, 'prediction': 1.0}
{'': '43', 'Unnamed: 0': '43.0', 'customerID': '4671-VJLCL', 'gender': 'Female', 'SeniorCitizen': '0.0', 'Partner': 'No', 'Dependents': 'No', 'tenure': 63.0, 'PhoneService': 1, 'MultipleLines': 'Yes', 'InternetService': 'DSL', 'OnlineSecurity': 'Yes', 'OnlineBackup': 'Yes', 'DeviceProtection': 'Yes', 'TechSupport': 'Yes', 'StreamingTV': 'Yes', 'StreamingMovies': 'No', 'Contract': 'Two year', 'PaperlessBilling': 'Yes', 'PaymentMethod': 'Credit card (automatic)', 'MonthlyCharges': 79.85, 'TotalCharges': 4861.45, 'prediction': 0.0}
{'': '44', 'Unnamed: 0': '44.0', 'customerID': '4080-IIARD', 'gender': 'Female', 'SeniorCitizen': '0.0', 'Partner': 'Yes', 'Dependents': 'No', 'tenure': 13.0, 'PhoneService': 1, 'MultipleLines': 'Yes', 'InternetService': 'DSL', 'OnlineSecurity': 'Yes', 'OnlineBackup': 'Yes', 'DeviceProtection': 'No', 'TechSupport': 'Yes', 'StreamingTV': 'Yes', 'StreamingMovies': 'No', 'Contract': 'Month-to-month', 'PaperlessBilling': 'Yes', 'PaymentMethod': 'Electronic check', 'MonthlyCharges': 76.2, 'TotalCharges': 981.45, 'prediction': 0.0}
{'': '45', 'Unnamed: 0': '45.0', 'customerID': '3714-NTNFO', 'gender': 'Female', 'SeniorCitizen': '0.0', 'Partner': 'No', 'Dependents': 'No', 'tenure': 49.0, 'PhoneService': 1, 'MultipleLines': 'Yes', 'InternetService': 'Fiber optic', 'OnlineSecurity': 'No', 'OnlineBackup': 'No', 'DeviceProtection': 'No', 'TechSupport': 'No', 'StreamingTV': 'No', 'StreamingMovies': 'Yes', 'Contract': 'Month-to-month', 'PaperlessBilling': 'Yes', 'PaymentMethod': 'Electronic check', 'MonthlyCharges': 84.5, 'TotalCharges': 3906.7, 'prediction': 0.0}
{'': '46', 'Unnamed: 0': '46.0', 'customerID': '5948-UJZLF', 'gender': 'Male', 'SeniorCitizen': '0.0', 'Partner': 'No', 'Dependents': 'No', 'tenure': 2.0, 'PhoneService': 1, 'MultipleLines': 'No', 'InternetService': 'DSL', 'OnlineSecurity': 'No', 'OnlineBackup': 'Yes', 'DeviceProtection': 'No', 'TechSupport': 'No', 'StreamingTV': 'No', 'StreamingMovies': 'No', 'Contract': 'Month-to-month', 'PaperlessBilling': 'No', 'PaymentMethod': 'Mailed check', 'MonthlyCharges': 49.25, 'TotalCharges': 97.0, 'prediction': 1.0}
{'': '47', 'Unnamed: 0': '47.0', 'customerID': '7760-OYPDY', 'gender': 'Female', 'SeniorCitizen': '0.0', 'Partner': 'No', 'Dependents': 'No', 'tenure': 2.0, 'PhoneService': 1, 'MultipleLines': 'No', 'InternetService': 'Fiber optic', 'OnlineSecurity': 'No', 'OnlineBackup': 'No', 'DeviceProtection': 'No', 'TechSupport': 'No', 'StreamingTV': 'Yes', 'StreamingMovies': 'No', 'Contract': 'Month-to-month', 'PaperlessBilling': 'Yes', 'PaymentMethod': 'Electronic check', 'MonthlyCharges': 80.65, 'TotalCharges': 144.15, 'prediction': 1.0}
{'': '48', 'Unnamed: 0': '48.0', 'customerID': '7639-LIAYI', 'gender': 'Male', 'SeniorCitizen': '0.0', 'Partner': 'No', 'Dependents': 'No', 'tenure': 52.0, 'PhoneService': 1, 'MultipleLines': 'Yes', 'InternetService': 'DSL', 'OnlineSecurity': 'Yes', 'OnlineBackup': 'No', 'DeviceProtection': 'No', 'TechSupport': 'Yes', 'StreamingTV': 'Yes', 'StreamingMovies': 'Yes', 'Contract': 'Two year', 'PaperlessBilling': 'Yes', 'PaymentMethod': 'Credit card (automatic)', 'MonthlyCharges': 79.75, 'TotalCharges': 4217.8, 'prediction': 0.0}
{'': '49', 'Unnamed: 0': '49.0', 'customerID': '2954-PIBKO', 'gender': 'Female', 'SeniorCitizen': '0.0', 'Partner': 'Yes', 'Dependents': 'Yes', 'tenure': 69.0, 'PhoneService': 1, 'MultipleLines': 'Yes', 'InternetService': 'DSL', 'OnlineSecurity': 'Yes', 'OnlineBackup': 'No', 'DeviceProtection': 'Yes', 'TechSupport': 'Yes', 'StreamingTV': 'No', 'StreamingMovies': 'No', 'Contract': 'Two year', 'PaperlessBilling': 'Yes', 'PaymentMethod': 'Credit card (automatic)', 'MonthlyCharges': 64.15, 'TotalCharges': 4254.1, 'prediction': 0.0}
{'': '50', 'Unnamed: 0': '50.0', 'customerID': '8012-SOUDQ', 'gender': 'Female', 'SeniorCitizen': '1.0', 'Partner': 'No', 'Dependents': 'No', 'tenure': 43.0, 'PhoneService': 1, 'MultipleLines': 'Yes', 'InternetService': 'Fiber optic', 'OnlineSecurity': 'No', 'OnlineBackup': 'Yes', 'DeviceProtection': 'No', 'TechSupport': 'No', 'StreamingTV': 'Yes', 'StreamingMovies': 'No', 'Contract': 'Month-to-month', 'PaperlessBilling': 'Yes', 'PaymentMethod': 'Electronic check', 'MonthlyCharges': 90.25, 'TotalCharges': 3838.75, 'prediction': 0.0}
{'': '51', 'Unnamed: 0': '51.0', 'customerID': '9420-LOJKX', 'gender': 'Female', 'SeniorCitizen': '0.0', 'Partner': 'No', 'Dependents': 'No', 'tenure': 15.0, 'PhoneService': 1, 'MultipleLines': 'No', 'InternetService': 'Fiber optic', 'OnlineSecurity': 'Yes', 'OnlineBackup': 'Yes', 'DeviceProtection': 'No', 'TechSupport': 'No', 'StreamingTV': 'Yes', 'StreamingMovies': 'Yes', 'Contract': 'Month-to-month', 'PaperlessBilling': 'Yes', 'PaymentMethod': 'Credit card (automatic)', 'MonthlyCharges': 99.1, 'TotalCharges': 1426.4, 'prediction': 0.0}
{'': '52', 'Unnamed: 0': '52.0', 'customerID': '6575-SUVOI', 'gender': 'Female', 'SeniorCitizen': '1.0', 'Partner': 'Yes', 'Dependents': '', 'tenure': 25.0, 'PhoneService': 1, 'MultipleLines': 'Yes', 'InternetService': 'DSL', 'OnlineSecurity': 'Yes', 'OnlineBackup': 'No', 'DeviceProtection': 'No', 'TechSupport': 'Yes', 'StreamingTV': 'Yes', 'StreamingMovies': 'No', 'Contract': 'Month-to-month', 'PaperlessBilling': 'Yes', 'PaymentMethod': 'Credit card (automatic)', 'MonthlyCharges': 69.5, 'TotalCharges': 1752.65, 'prediction': 0.0}
{'': '53', 'Unnamed: 0': '53.0', 'customerID': '7495-OOKFY', 'gender': 'Female', 'SeniorCitizen': '1.0', 'Partner': '', 'Dependents': 'No', 'tenure': 8.0, 'PhoneService': 1, 'MultipleLines': 'Yes', 'InternetService': 'Fiber optic', 'OnlineSecurity': 'No', 'OnlineBackup': 'Yes', 'DeviceProtection': 'No', 'TechSupport': 'No', 'StreamingTV': 'No', 'StreamingMovies': 'No', 'Contract': 'Month-to-month', 'PaperlessBilling': 'Yes', 'PaymentMethod': 'Credit card (automatic)', 'MonthlyCharges': 80.65, 'TotalCharges': 633.3, 'prediction': 0.0}
{'': '54', 'Unnamed: 0': '54.0', 'customerID': '4667-QONEA', 'gender': 'Female', 'SeniorCitizen': '1.0', 'Partner': 'Yes', 'Dependents': 'Yes', 'tenure': 60.0, 'PhoneService': 1, 'MultipleLines': 'No', 'InternetService': 'DSL', 'OnlineSecurity': 'Yes', 'OnlineBackup': 'Yes', 'DeviceProtection': 'Yes', 'TechSupport': 'Yes', 'StreamingTV': 'No', 'StreamingMovies': 'Yes', 'Contract': 'One year', 'PaperlessBilling': 'Yes', 'PaymentMethod': 'Credit card (automatic)', 'MonthlyCharges': 74.85, 'TotalCharges': 4456.35, 'prediction': 0.0}
{'': '55', 'Unnamed: 0': '55.0', 'customerID': '1658-BYGOY', 'gender': 'Male', 'SeniorCitizen': '1.0', 'Partner': 'No', 'Dependents': 'No', 'tenure': 18.0, 'PhoneService': 1, 'MultipleLines': 'Yes', 'InternetService': 'Fiber optic', 'OnlineSecurity': 'No', 'OnlineBackup': 'No', 'DeviceProtection': 'No', 'TechSupport': 'No', 'StreamingTV': 'Yes', 'StreamingMovies': 'Yes', 'Contract': 'Month-to-month', 'PaperlessBilling': 'Yes', 'PaymentMethod': 'Electronic check', 'MonthlyCharges': 95.45, 'TotalCharges': 1752.55, 'prediction': 0.0}
{'': '56', 'Unnamed: 0': '56.0', 'customerID': '8769-KKTPH', 'gender': 'Female', 'SeniorCitizen': '0.0', 'Partner': 'Yes', 'Dependents': 'Yes', 'tenure': 63.0, 'PhoneService': 1, 'MultipleLines': 'Yes', 'InternetService': 'Fiber optic', 'OnlineSecurity': 'Yes', 'OnlineBackup': 'No', 'DeviceProtection': 'No', 'TechSupport': 'No', 'StreamingTV': 'Yes', 'StreamingMovies': 'Yes', 'Contract': 'One year', 'PaperlessBilling': 'Yes', 'PaymentMethod': 'Credit card (automatic)', 'MonthlyCharges': 99.65, 'TotalCharges': 6311.2, 'prediction': 0.0}
{'': '57', 'Unnamed: 0': '57.0', 'customerID': '5067-XJQFU', 'gender': 'Male', 'SeniorCitizen': '1.0', 'Partner': '', 'Dependents': 'Yes', 'tenure': 66.0, 'PhoneService': 1, 'MultipleLines': 'Yes', 'InternetService': 'Fiber optic', 'OnlineSecurity': 'No', 'OnlineBackup': 'Yes', 'DeviceProtection': 'Yes', 'TechSupport': 'Yes', 'StreamingTV': 'Yes', 'StreamingMovies': 'Yes', 'Contract': 'One year', 'PaperlessBilling': 'Yes', 'PaymentMethod': 'Electronic check', 'MonthlyCharges': 108.45, 'TotalCharges': 7076.35, 'prediction': 0.0}
{'': '58', 'Unnamed: 0': '58.0', 'customerID': '3957-SQXML', 'gender': 'Female', 'SeniorCitizen': '0.0', 'Partner': 'Yes', 'Dependents': 'Yes', 'tenure': 34.0, 'PhoneService': 1, 'MultipleLines': 'Yes', 'InternetService': 'No', 'OnlineSecurity': 'No internet service', 'OnlineBackup': 'No internet service', 'DeviceProtection': 'No internet service', 'TechSupport': 'No internet service', 'StreamingTV': 'No internet service', 'StreamingMovies': 'No internet service', 'Contract': 'Two year', 'PaperlessBilling': 'No', 'PaymentMethod': 'Credit card (automatic)', 'MonthlyCharges': 24.95, 'TotalCharges': 894.3, 'prediction': 0.0}
{'': '59', 'Unnamed: 0': '59.0', 'customerID': '5954-BDFSG', 'gender': 'Female', 'SeniorCitizen': '0.0', 'Partner': 'No', 'Dependents': 'No', 'tenure': 72.0, 'PhoneService': 1, 'MultipleLines': 'Yes', 'InternetService': 'Fiber optic', 'OnlineSecurity': 'No', 'OnlineBackup': 'No', 'DeviceProtection': 'Yes', 'TechSupport': 'Yes', 'StreamingTV': 'Yes', 'StreamingMovies': 'Yes', 'Contract': 'Two year', 'PaperlessBilling': 'Yes', 'PaymentMethod': 'Credit card (automatic)', 'MonthlyCharges': 107.5, 'TotalCharges': 7853.7, 'prediction': 0.0}
{'': '60', 'Unnamed: 0': '60.0', 'customerID': '0434-CSFON', 'gender': 'Female', 'SeniorCitizen': '0.0', 'Partner': 'Yes', 'Dependents': 'No', 'tenure': 47.0, 'PhoneService': 1, 'MultipleLines': 'Yes', 'InternetService': 'Fiber optic', 'OnlineSecurity': 'No', 'OnlineBackup': 'No', 'DeviceProtection': 'Yes', 'TechSupport': 'No', 'StreamingTV': 'Yes', 'StreamingMovies': 'Yes', 'Contract': 'Month-to-month', 'PaperlessBilling': 'Yes', 'PaymentMethod': 'Electronic check', 'MonthlyCharges': 100.5, 'TotalCharges': 4707.1, 'prediction': 0.0}
{'': '61', 'Unnamed: 0': '61.0', 'customerID': '1215-FIGMP', 'gender': 'Male', 'SeniorCitizen': '0.0', 'Partner': 'No', 'Dependents': 'No', 'tenure': 60.0, 'PhoneService': 1, 'MultipleLines': 'Yes', 'InternetService': 'Fiber optic', 'OnlineSecurity': '', 'OnlineBackup': 'Yes', 'DeviceProtection': 'No', 'TechSupport': 'No', 'StreamingTV': 'Yes', 'StreamingMovies': 'No', 'Contract': 'Month-to-month', 'PaperlessBilling': 'Yes', 'PaymentMethod': 'Bank transfer (automatic)', 'MonthlyCharges': 89.9, 'TotalCharges': 5450.7, 'prediction': 0.0}
{'': '62', 'Unnamed: 0': '62.0', 'customerID': '0526-SXDJP', 'gender': 'Male', 'SeniorCitizen': '0.0', 'Partner': 'Yes', 'Dependents': 'No', 'tenure': 72.0, 'PhoneService': 0, 'MultipleLines': 'No phone service', 'InternetService': 'DSL', 'OnlineSecurity': 'Yes', 'OnlineBackup': 'Yes', 'DeviceProtection': 'Yes', 'TechSupport': 'No', 'StreamingTV': 'No', 'StreamingMovies': 'No', 'Contract': 'Two year', 'PaperlessBilling': 'No', 'PaymentMethod': 'Bank transfer (automatic)', 'MonthlyCharges': 42.1, 'TotalCharges': 2962.0, 'prediction': 0.0}
{'': '63', 'Unnamed: 0': '63.0', 'customerID': '0557-ASKVU', 'gender': 'Female', 'SeniorCitizen': '0.0', 'Partner': 'Yes', 'Dependents': 'Yes', 'tenure': 18.0, 'PhoneService': 1, 'MultipleLines': 'No', 'InternetService': 'DSL', 'OnlineSecurity': 'No', 'OnlineBackup': 'No', 'DeviceProtection': 'Yes', 'TechSupport': 'Yes', 'StreamingTV': 'No', 'StreamingMovies': 'No', 'Contract': 'One year', 'PaperlessBilling': 'Yes', 'PaymentMethod': 'Credit card (automatic)', 'MonthlyCharges': 54.4, 'TotalCharges': 957.1, 'prediction': 0.0}
{'': '64', 'Unnamed: 0': '64.0', 'customerID': '5698-BQJOH', 'gender': 'Female', 'SeniorCitizen': '0.0', 'Partner': 'No', 'Dependents': 'No', 'tenure': 9.0, 'PhoneService': 1, 'MultipleLines': 'Yes', 'InternetService': 'Fiber optic', 'OnlineSecurity': 'No', 'OnlineBackup': 'No', 'DeviceProtection': 'No', 'TechSupport': 'No', 'StreamingTV': 'Yes', 'StreamingMovies': 'Yes', 'Contract': 'Month-to-month', 'PaperlessBilling': 'No', 'PaymentMethod': 'Electronic check', 'MonthlyCharges': 94.4, 'TotalCharges': 857.25, 'prediction': 0.0}
{'': '65', 'Unnamed: 0': '65.0', 'customerID': '5122-CYFXA', 'gender': 'Female', 'SeniorCitizen': '0.0', 'Partner': 'No', 'Dependents': 'No', 'tenure': 3.0, 'PhoneService': 1, 'MultipleLines': 'No', 'InternetService': 'DSL', 'OnlineSecurity': 'No', 'OnlineBackup': 'Yes', 'DeviceProtection': 'No', 'TechSupport': 'Yes', 'StreamingTV': 'Yes', 'StreamingMovies': 'Yes', 'Contract': 'Month-to-month', 'PaperlessBilling': 'Yes', 'PaymentMethod': 'Electronic check', 'MonthlyCharges': 75.3, 'TotalCharges': 244.1, 'prediction': 1.0}
{'': '66', 'Unnamed: 0': '66.0', 'customerID': '8627-ZYGSZ', 'gender': 'Male', 'SeniorCitizen': '0.0', 'Partner': 'Yes', 'Dependents': 'No', 'tenure': 47.0, 'PhoneService': 1, 'MultipleLines': 'Yes', 'InternetService': 'Fiber optic', 'OnlineSecurity': 'No', 'OnlineBackup': 'Yes', 'DeviceProtection': 'No', 'TechSupport': 'No', 'StreamingTV': 'No', 'StreamingMovies': 'No', 'Contract': 'One year', 'PaperlessBilling': 'Yes', 'PaymentMethod': 'Electronic check', 'MonthlyCharges': 78.9, 'TotalCharges': 3650.35, 'prediction': 0.0}
{'': '67', 'Unnamed: 0': '67.0', 'customerID': '3410-YOQBQ', 'gender': 'Female', 'SeniorCitizen': '0.0', 'Partner': 'No', 'Dependents': 'No', 'tenure': 31.0, 'PhoneService': 1, 'MultipleLines': 'No', 'InternetService': 'DSL', 'OnlineSecurity': 'No', 'OnlineBackup': 'Yes', 'DeviceProtection': 'Yes', 'TechSupport': 'Yes', 'StreamingTV': 'Yes', 'StreamingMovies': 'Yes', 'Contract': 'Two year', 'PaperlessBilling': 'No', 'PaymentMethod': 'Mailed check', 'MonthlyCharges': 79.2, 'TotalCharges': 2497.2, 'prediction': 0.0}
{'': '68', 'Unnamed: 0': '68.0', 'customerID': '3170-NMYVV', 'gender': 'Female', 'SeniorCitizen': '0.0', 'Partner': 'Yes', 'Dependents': 'Yes', 'tenure': 50.0, 'PhoneService': 1, 'MultipleLines': 'No', 'InternetService': 'No', 'OnlineSecurity': 'No internet service', 'OnlineBackup': 'No internet service', 'DeviceProtection': 'No internet service', 'TechSupport': 'No internet service', 'StreamingTV': 'No internet service', 'StreamingMovies': 'No internet service', 'Contract': 'Two year', 'PaperlessBilling': 'No', 'PaymentMethod': 'Bank transfer (automatic)', 'MonthlyCharges': 20.15, 'TotalCharges': 930.9, 'prediction': 0.0}
{'': '69', 'Unnamed: 0': '69.0', 'customerID': '7410-OIEDU', 'gender': 'Male', 'SeniorCitizen': '0.0', 'Partner': 'No', 'Dependents': 'No', 'tenure': 10.0, 'PhoneService': 1, 'MultipleLines': 'No', 'InternetService': 'Fiber optic', 'OnlineSecurity': 'Yes', 'OnlineBackup': 'No', 'DeviceProtection': 'Yes', 'TechSupport': 'No', 'StreamingTV': 'No', 'StreamingMovies': 'No', 'Contract': 'Month-to-month', 'PaperlessBilling': 'Yes', 'PaymentMethod': 'Mailed check', 'MonthlyCharges': 79.85, 'TotalCharges': 887.35, 'prediction': 0.0}
{'': '70', 'Unnamed: 0': '70.0', 'customerID': '2273-QCKXA', 'gender': 'Male', 'SeniorCitizen': '', 'Partner': 'No', 'Dependents': 'No', 'tenure': 1.0, 'PhoneService': 1, 'MultipleLines': 'No', 'InternetService': 'DSL', 'OnlineSecurity': 'No', 'OnlineBackup': 'No', 'DeviceProtection': 'No', 'TechSupport': 'Yes', 'StreamingTV': 'No', 'StreamingMovies': 'No', 'Contract': 'Month-to-month', 'PaperlessBilling': 'No', 'PaymentMethod': 'Mailed check', 'MonthlyCharges': 49.05, 'TotalCharges': 49.05, 'prediction': 1.0}
{'': '71', 'Unnamed: 0': '71.0', 'customerID': '0731-EBJQB', 'gender': 'Female', 'SeniorCitizen': '0.0', 'Partner': 'Yes', 'Dependents': 'Yes', 'tenure': 52.0, 'PhoneService': 1, 'MultipleLines': 'No', 'InternetService': 'No', 'OnlineSecurity': 'No internet service', 'OnlineBackup': 'No internet service', 'DeviceProtection': 'No internet service', 'TechSupport': 'No internet service', 'StreamingTV': 'No internet service', 'StreamingMovies': 'No internet service', 'Contract': 'One year', 'PaperlessBilling': 'Yes', 'PaymentMethod': 'Electronic check', 'MonthlyCharges': 20.4, 'TotalCharges': 1090.65, 'prediction': 0.0}
{'': '72', 'Unnamed: 0': '72.0', 'customerID': '1891-QRQSA', 'gender': 'Male', 'SeniorCitizen': '1.0', 'Partner': 'Yes', 'Dependents': 'Yes', 'tenure': 64.0, 'PhoneService': 1, 'MultipleLines': 'Yes', 'InternetService': 'Fiber optic', 'OnlineSecurity': 'Yes', 'OnlineBackup': 'No', 'DeviceProtection': 'Yes', 'TechSupport': 'Yes', 'StreamingTV': 'Yes', 'StreamingMovies': 'Yes', 'Contract': 'Two year', 'PaperlessBilling': 'Yes', 'PaymentMethod': 'Bank transfer (automatic)', 'MonthlyCharges': 111.6, 'TotalCharges': 7099.0, 'prediction': 0.0}
{'': '73', 'Unnamed: 0': '73.0', 'customerID': '8028-PNXHQ', 'gender': 'Male', 'SeniorCitizen': '0.0', 'Partner': 'Yes', 'Dependents': 'Yes', 'tenure': 62.0, 'PhoneService': 1, 'MultipleLines': 'Yes', 'InternetService': 'No', 'OnlineSecurity': 'No internet service', 'OnlineBackup': 'No internet service', 'DeviceProtection': 'No internet service', 'TechSupport': 'No internet service', 'StreamingTV': 'No internet service', 'StreamingMovies': 'No internet service', 'Contract': 'Two year', 'PaperlessBilling': 'Yes', 'PaymentMethod': 'Bank transfer (automatic)', 'MonthlyCharges': 24.25, 'TotalCharges': 1424.6, 'prediction': 0.0}
{'': '74', 'Unnamed: 0': '74.0', 'customerID': '5630-AHZIL', 'gender': 'Female', 'SeniorCitizen': '0.0', 'Partner': 'No', 'Dependents': 'Yes', 'tenure': 3.0, 'PhoneService': 1, 'MultipleLines': 'No', 'InternetService': 'DSL', 'OnlineSecurity': 'Yes', 'OnlineBackup': 'No', 'DeviceProtection': 'No', 'TechSupport': 'Yes', 'StreamingTV': 'No', 'StreamingMovies': 'Yes', 'Contract': 'Month-to-month', 'PaperlessBilling': 'Yes', 'PaymentMethod': 'Bank transfer (automatic)', 'MonthlyCharges': 64.5, 'TotalCharges': 177.4, 'prediction': 1.0}
{'': '75', 'Unnamed: 0': '75.0', 'customerID': '2673-CXQEU', 'gender': 'Female', 'SeniorCitizen': '1.0', 'Partner': 'No', 'Dependents': 'No', 'tenure': 56.0, 'PhoneService': 0, 'MultipleLines': 'Yes', 'InternetService': 'Fiber optic', 'OnlineSecurity': 'Yes', 'OnlineBackup': 'Yes', 'DeviceProtection': 'Yes', 'TechSupport': 'No', 'StreamingTV': 'Yes', 'StreamingMovies': 'Yes', 'Contract': 'One year', 'PaperlessBilling': 'No', 'PaymentMethod': 'Electronic check', 'MonthlyCharges': 110.5, 'TotalCharges': 6139.5, 'prediction': 0.0}
{'': '76', 'Unnamed: 0': '76.0', 'customerID': '6416-JNVRK', 'gender': 'Female', 'SeniorCitizen': '0.0', 'Partner': 'No', 'Dependents': 'No', 'tenure': 46.0, 'PhoneService': 1, 'MultipleLines': 'No', 'InternetService': 'DSL', 'OnlineSecurity': 'No', 'OnlineBackup': 'No', 'DeviceProtection': 'No', 'TechSupport': 'No', 'StreamingTV': 'No', 'StreamingMovies': 'Yes', 'Contract': 'One year', 'PaperlessBilling': 'No', 'PaymentMethod': 'Credit card (automatic)', 'MonthlyCharges': 55.65, 'TotalCharges': 2688.85, 'prediction': 0.0}
{'': '77', 'Unnamed: 0': '', 'customerID': '5590-ZSKRV', 'gender': 'Female', 'SeniorCitizen': '0.0', 'Partner': 'Yes', 'Dependents': '', 'tenure': 8.0, 'PhoneService': 1, 'MultipleLines': 'No', 'InternetService': 'DSL', 'OnlineSecurity': 'Yes', 'OnlineBackup': 'Yes', 'DeviceProtection': 'No', 'TechSupport': 'No', 'StreamingTV': 'No', 'StreamingMovies': 'No', 'Contract': 'Month-to-month', 'PaperlessBilling': 'No', 'PaymentMethod': 'Mailed check', 'MonthlyCharges': 54.65, 'TotalCharges': 482.25, 'prediction': 0.0}
{'': '78', 'Unnamed: 0': '78.0', 'customerID': '0191-ZHSKZ', 'gender': 'Male', 'SeniorCitizen': '1.0', 'Partner': 'No', 'Dependents': 'No', 'tenure': 30.0, 'PhoneService': 1, 'MultipleLines': 'No', 'InternetService': 'DSL', 'OnlineSecurity': 'Yes', 'OnlineBackup': 'Yes', 'DeviceProtection': 'No', 'TechSupport': 'No', 'StreamingTV': 'Yes', 'StreamingMovies': 'Yes', 'Contract': 'Month-to-month', 'PaperlessBilling': 'Yes', 'PaymentMethod': 'Electronic check', 'MonthlyCharges': 74.75, 'TotalCharges': 2111.3, 'prediction': 0.0}
{'': '79', 'Unnamed: 0': '79.0', 'customerID': '3887-PBQAO', 'gender': 'Female', 'SeniorCitizen': '0.0', 'Partner': '', 'Dependents': 'Yes', 'tenure': 45.0, 'PhoneService': 1, 'MultipleLines': 'Yes', 'InternetService': 'No', 'OnlineSecurity': 'No internet service', 'OnlineBackup': 'No internet service', 'DeviceProtection': 'No internet service', 'TechSupport': 'No internet service', 'StreamingTV': 'No internet service', 'StreamingMovies': 'No internet service', 'Contract': 'One year', 'PaperlessBilling': 'Yes', 'PaymentMethod': 'Credit card (automatic)', 'MonthlyCharges': 25.9, 'TotalCharges': 1216.6, 'prediction': 0.0}
{'': '80', 'Unnamed: 0': '80.0', 'customerID': '5919-TMRGD', 'gender': 'Female', 'SeniorCitizen': '0.0', 'Partner': 'No', 'Dependents': 'Yes', 'tenure': 1.0, 'PhoneService': 1, 'MultipleLines': 'No', 'InternetService': 'Fiber optic', 'OnlineSecurity': 'No', 'OnlineBackup': 'No', 'DeviceProtection': 'No', 'TechSupport': 'No', 'StreamingTV': 'Yes', 'StreamingMovies': 'No', 'Contract': 'Month-to-month', 'PaperlessBilling': 'Yes', 'PaymentMethod': 'Electronic check', 'MonthlyCharges': 79.35, 'TotalCharges': 79.35, 'prediction': 1.0}
{'': '81', 'Unnamed: 0': '81.0', 'customerID': '8108-UXRQN', 'gender': 'Female', 'SeniorCitizen': '0.0', 'Partner': 'Yes', 'Dependents': 'Yes', 'tenure': 11.0, 'PhoneService': 0, 'MultipleLines': 'No phone service', 'InternetService': 'DSL', 'OnlineSecurity': 'Yes', 'OnlineBackup': 'No', 'DeviceProtection': 'No', 'TechSupport': 'No', 'StreamingTV': 'Yes', 'StreamingMovies': 'Yes', 'Contract': 'Month-to-month', 'PaperlessBilling': 'No', 'PaymentMethod': 'Electronic check', 'MonthlyCharges': 50.55, 'TotalCharges': 565.35, 'prediction': 0.0}
{'': '82', 'Unnamed: 0': '82.0', 'customerID': '9191-MYQKX', 'gender': 'Female', 'SeniorCitizen': '0.0', 'Partner': 'Yes', 'Dependents': 'No', 'tenure': 7.0, 'PhoneService': 1, 'MultipleLines': 'No', 'InternetService': 'Fiber optic', 'OnlineSecurity': 'No', 'OnlineBackup': 'No', 'DeviceProtection': 'Yes', 'TechSupport': 'No', 'StreamingTV': 'No', 'StreamingMovies': 'No', 'Contract': 'Month-to-month', 'PaperlessBilling': 'Yes', 'PaymentMethod': 'Bank transfer (automatic)', 'MonthlyCharges': 75.15, 'TotalCharges': 496.9, 'prediction': 0.0}
